"scenario","users","method","endpoint","requests","failures","failure_rate_percent","rps","p50_ms","p95_ms","p99_ms"
"fallback-expiry","1","GET","GET group list","1","0","0","0.008","38","38","38"
"fallback-expiry","1","GET","GET total","9","0","0","0.076","6400","7500","7500"
"fallback-expiry","1","POST","POST log list","10","0","0","0.084","420","730","730"
"fallback-expiry","1","POST","POST log only_error","2","0","0","0.017","150","150","150"
"fallback-expiry","1","POST","POST os list","210","0","0","1.766","2000","2600","2600"
"fallback-expiry","1","POST","POST process list","10","0","0","0.084","5000","5800","5800"
"fallback-expiry","10","GET","GET group list","10","0","0","0.122","480","680","680"
"fallback-expiry","10","GET","GET total","9","0","0","0.11","79000","81000","81000"
"fallback-expiry","10","POST","POST log level filter","3","0","0","0.037","9100","72000","72000"
"fallback-expiry","10","POST","POST log list","9","0","0","0.11","2100","65000","65000"
"fallback-expiry","10","POST","POST os list","71","1","1.408","0.865","44000","79000","79000"
"fallback-expiry","10","POST","POST process list","9","1","11.111","0.11","81000","81000","81000"
"fallback-expiry","25","GET","GET group list","25","5","20","0.226","2300","107000","107000"
"fallback-expiry","25","GET","GET total","17","5","29.412","0.154","109000","110000","110000"
"fallback-expiry","25","POST","POST log level filter","1","0","0","0.009","106000","106000","106000"
"fallback-expiry","25","POST","POST log list","9","0","0","0.081","2800","4300","4300"
"fallback-expiry","25","POST","POST log only_error","2","0","0","0.018","106000","106000","106000"
"fallback-expiry","25","POST","POST os list","101","35","34.653","0.912","107000","108000","108000"
"fallback-expiry","25","POST","POST process list","9","0","0","0.081","109000","110000","110000"
"fallback-warm","1","GET","GET group list","1","0","0","0.008","72","72","72"
"fallback-warm","1","GET","GET total","15","0","0","0.126","420","620","620"
"fallback-warm","1","POST","POST log level filter","2","0","0","0.017","69","69","69"
"fallback-warm","1","POST","POST log list","15","0","0","0.126","1300","1600","1600"
"fallback-warm","1","POST","POST log machine filter","1","0","0","0.008","56","56","56"
"fallback-warm","1","POST","POST os list","316","0","0","2.653","1700","2000","2100"
"fallback-warm","1","POST","POST process list","15","0","0","0.126","380","610","610"
"fallback-warm","10","GET","GET group list","10","0","0","0.084","3100","3600","3600"
"fallback-warm","10","GET","GET total","64","2","3.125","0.538","2500","5900","9000"
"fallback-warm","10","POST","POST log level filter","3","0","0","0.025","3300","7100","7100"
"fallback-warm","10","POST","POST log list","64","3","4.688","0.538","2800","5300","7300"
"fallback-warm","10","POST","POST log machine filter","5","0","0","0.042","3000","6500","6500"
"fallback-warm","10","POST","POST log only_error","7","0","0","0.059","2600","4700","4700"
"fallback-warm","10","POST","POST os list","1187","4","0.337","9.977","5800","8800","9800"
"fallback-warm","10","POST","POST process list","64","2","3.125","0.538","2400","5800","9100"
"fallback-warm","25","GET","GET group list","25","0","0","0.21","5000","9400","9400"
"fallback-warm","25","GET","GET total","59","2","3.39","0.496","7400","22000","27000"
"fallback-warm","25","POST","POST log level filter","4","0","0","0.034","16000","25000","25000"
"fallback-warm","25","POST","POST log list","57","0","0","0.48","7600","22000","27000"
"fallback-warm","25","POST","POST log machine filter","3","1","33.333","0.025","4700","6700","6700"
"fallback-warm","25","POST","POST log only_error","6","0","0","0.05","14000","19000","19000"
"fallback-warm","25","POST","POST os list","1003","0","0","8.44","21000","32000","38000"
"fallback-warm","25","POST","POST process list","58","1","1.724","0.488","7500","22000","27000"
"steady30-expiry","1","GET","GET group list","1","0","0","0.006","32","32","32"
"steady30-expiry","1","GET","GET total","4","0","0","0.022","7300","7300","7300"
"steady30-expiry","1","POST","POST log list","5","0","0","0.028","330","550","550"
"steady30-expiry","1","POST","POST log only_error","1","0","0","0.006","93","93","93"
"steady30-expiry","1","POST","POST os list","87","0","0","0.485","2300","2600","2600"
"steady30-expiry","1","POST","POST process list","4","0","0","0.022","5300","5800","5800"
"steady30-expiry","10","GET","GET group list","10","0","0","0.088","220","1100","1100"
"steady30-expiry","10","GET","GET total","10","0","0","0.088","111000","111000","111000"
"steady30-expiry","10","POST","POST log list","10","0","0","0.088","3700","10000","10000"
"steady30-expiry","10","POST","POST os list","112","41","36.607","0.991","107000","108000","108000"
"steady30-expiry","10","POST","POST process list","10","0","0","0.088","47000","111000","111000"
"steady30-expiry","25","GET","GET group list","25","0","0","0.148","38000","40000","69000"
"steady30-expiry","25","GET","GET total","22","1","4.545","0.13","127000","128000","128000"
"steady30-expiry","25","POST","POST log level filter","3","1","33.333","0.018","127000","127000","127000"
"steady30-expiry","25","POST","POST log list","11","1","9.091","0.065","6600","127000","127000"
"steady30-expiry","25","POST","POST log machine filter","1","0","0","0.006","6500","6500","6500"
"steady30-expiry","25","POST","POST os list","169","25","14.793","0.997","71000","128000","128000"
"steady30-expiry","25","POST","POST process list","12","2","16.667","0.071","41000","127000","127000"
"steady30-expiry-repeat","10","GET","GET group list","10","0","0","0.058","230","250","250"
"steady30-expiry-repeat","10","GET","GET total","16","0","0","0.093","67000","98000","98000"
"steady30-expiry-repeat","10","POST","POST log level filter","1","0","0","0.006","770","770","770"
"steady30-expiry-repeat","10","POST","POST log list","16","0","0","0.093","34000","76000","76000"
"steady30-expiry-repeat","10","POST","POST log machine filter","2","0","0","0.012","35000","35000","35000"
"steady30-expiry-repeat","10","POST","POST os list","223","3","1.345","1.298","43000","98000","98000"
"steady30-expiry-repeat","10","POST","POST process list","16","0","0","0.093","43000","76000","76000"
