"scenario","users","samples","threads_connected_max","threads_running_max","app_cpu_percent_one_core","app_working_set_mb_max","app_private_memory_mb_max","mysql_cpu_percent_avg","mysql_cpu_percent_max","redis_cpu_percent_avg","redis_cpu_percent_max","mysql_memory","redis_memory"
"fallback-expiry","1","16","6","3","45.4","222.6","939.8","7.9","22.1","1.3","2.6","744.3MiB / 7.625GiB","19.61MiB / 7.625GiB"
"fallback-expiry","10","17","41","3","69.6","602","1320.8","3.8","31.4","1.2","2.2","746.9MiB / 7.625GiB","9.957MiB / 7.625GiB"
"fallback-expiry","25","17","41","2","70.2","698.3","1416.6","3.7","17.1","0.9","2.2","744.4MiB / 7.625GiB","13.89MiB / 7.625GiB"
"fallback-warm","1","16","3","3","24.1","186","904.4","5.2","16.9","1.2","2.1","743.6MiB / 7.625GiB","16.79MiB / 7.625GiB"
"fallback-warm","10","17","8","3","91.8","296.6","1017.8","9.2","23.6","1.5","2.5","743.6MiB / 7.625GiB","18.04MiB / 7.625GiB"
"fallback-warm","25","16","11","3","90.9","322.6","1041.7","11.8","26.1","1.5","2.5","744.3MiB / 7.625GiB","17.57MiB / 7.625GiB"
"steady30-expiry","1","25","5","3","14.6","209.8","929","5.4","15.5","1","2.7","744.4MiB / 7.625GiB","10.14MiB / 7.625GiB"
"steady30-expiry","10","25","41","2","47.4","675.3","1394.2","1.8","8.7","1.1","2.8","747MiB / 7.625GiB","9.809MiB / 7.625GiB"
"steady30-expiry","25","25","41","2","82","632.9","1351.6","3.9","30","0.8","1.9","745.5MiB / 7.625GiB","11.67MiB / 7.625GiB"
"steady30-expiry-repeat","10","25","41","3","77.9","638.5","1357.6","3.3","17.8","0.6","1.8","749.9MiB / 7.625GiB","13.73MiB / 7.625GiB"
